run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,268.20684789067144,3245.424836601307,3,20.0,0.0,20.0,76800.0,10.507500573195136,-0.0,CRUISE
W6_vector_01,268.4070112893642,3249.428104575163,3,20.0,0.0,20.0,76800.0,10.511770725700583,-0.0,CRUISE
W6_vector_01,268.60717468805706,3253.4313725490197,3,20.0,0.0,20.0,76800.0,10.516040878206029,-0.0,CRUISE
W6_vector_01,268.80733808674984,3257.4346405228757,3,20.0,0.0,20.0,76800.0,10.520311030711476,-0.0,CRUISE
W6_vector_01,269.0075014854427,3261.4379084967322,3,20.0,0.0,20.0,76800.0,10.524581183216924,-0.0,CRUISE
W6_vector_01,269.2076648841355,3265.4411764705883,3,20.0,0.0,20.0,76800.0,10.528851335722372,-0.0,CRUISE
W6_vector_01,269.4078282828283,3269.4444444444443,3,20.0,0.0,20.0,76800.0,10.533121488227817,-0.0,CRUISE
W6_vector_01,269.6079916815211,3273.447712418301,3,20.0,0.0,20.0,76800.0,10.537391640733265,-0.0,CRUISE
W6_vector_01,269.8081550802139,3277.450980392157,3,20.0,0.0,20.0,76800.0,10.541661793238712,-0.0,CRUISE
W6_vector_01,270.00831847890674,3281.454248366013,3,20.0,0.0,20.0,76800.0,10.545931945744158,-0.0,CRUISE
W6_vector_01,270.2084818775995,3285.4575163398695,3,20.0,0.0,20.0,76800.0,10.550202098249605,-0.0,CRUISE
W6_vector_01,270.40864527629236,3289.4607843137255,3,20.0,0.0,20.0,76800.0,10.554472250755053,-0.0,CRUISE
W6_vector_01,270.60880867498514,3293.4640522875816,3,20.0,0.0,20.0,76800.0,10.5587424032605,-0.0,CRUISE
W6_vector_01,270.808972073678,3297.467320261438,3,20.0,0.0,20.0,76800.0,10.563012555765946,-0.0,CRUISE
W6_vector_01,271.00913547237076,3301.470588235294,3,20.0,0.0,20.0,76800.0,10.567282708271392,-0.0,CRUISE
W6_vector_01,271.2092988710636,3305.47385620915,3,20.0,0.0,20.0,76800.0,10.57155286077684,-0.0,CRUISE
W6_vector_01,271.40946226975643,3309.4771241830067,3,20.0,0.0,20.0,76800.0,10.575823013282287,-0.0,CRUISE
W6_vector_01,271.6096256684492,3313.4803921568628,3,20.0,0.0,20.0,76800.0,10.580093165787734,-0.0,CRUISE
W6_vector_01,271.809789067142,3317.483660130719,3,20.0,0.0,20.0,76800.0,10.58436331829318,-0.0,CRUISE
W6_vector_01,272.00995246583483,3321.4869281045753,3,20.0,0.0,20.0,76800.0,10.588633470798626,-0.0,CRUISE
W6_vector_01,272.21011586452767,3325.4901960784314,3,20.0,0.0,20.0,76800.0,10.592903623304075,-0.0,CRUISE
W6_vector_01,272.41027926322045,3329.493464052288,3,20.0,0.0,20.0,76800.0,10.597173775809521,-0.0,CRUISE
W6_vector_01,272.6104426619133,3333.496732026144,3,20.0,0.0,20.0,76800.0,10.60144392831497,-0.0,CRUISE
W6_vector_01,272.81060606060606,3337.5,3,20.0,0.0,20.0,76800.0,10.605714080820414,-0.0,CRUISE
